[2026-02-24 18:27:47] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:27:51] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:27:54] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:27:57] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:28:00] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:28:03] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:28:06] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:28:09] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:28:18] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:28:21] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:28:24] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:28:30] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:28:33] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:28:37] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:28:39] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:29:16] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:29:19] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:29:50] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:29:53] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:29:56] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:29:59] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:02] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:05] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:08] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:11] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:15] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:17] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:21] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:24] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:27] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:30] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:33] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:36] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:39] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:42] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:45] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:48] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:51] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:54] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:30:57] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:31:00] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:31:05] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:31:06] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:31:10] IoT Trigger: ID=1, Status=SAFE, Level=0
[2026-02-24 18:31:13] IoT Trigger: ID=1, Status=SAFE, Level=0
